Instrument,Price,Last Modified,Location,Description
GEM - WS1 D - Spedizione Gratis,"€ 318,00",,LEGNANO centro (MI),"TESTED!!!
BUONO STATO, QUALCHE PICCOLO SEGNO DOVUTO AL NORMALE UTILIZZO. PERFETTAMENTE FUNZIONANTE. TUTTI I NOSTRI USATI SONO ACCURATAMENTE TESTATI E GODONO DI GARANZIA MINIMA DI 12 MESI. NON TI SODD..."
Crumar Bit One primissima versione + imballo originale Mario Maggi Elka Synthex,"€ 1.800,00",oggi alle 13:34,Ravenna,"Crumar Bit One progettato da Mario Maggi, l'ingegnere che ha progettato l'Elka Synthex! 
Qui nella rarissima e ricercatissima prima versione che suona nettamente meglio della seconda. 
Numero di ser..."
Arturia Matrixbrute - No Permute No Scambi,"€ 1.600,00",oggi alle 13:31,Roma,"Vendo Arturia Matrixbrute, con scatola e documentazione.
Condizioni immacolate, usato solo in casa.
€ 1600,00 intrattabili 
SOLO RITIRO A MANO.

Qualsiasi prova a Roma, pademia permettendo.

NO..."
Elektron analog four mk1,"€ 600,00",oggi alle 13:30,Padova,Vendo analog four in buone condizioni estetiche e funzionali....
Arp/Eminent Solina String Ensemble,"€ 1.850,00",oggi alle 13:29,Ravenna,"Ottime condizioni estetiche. 
Completamente recappata internamente. 
Prima versione, quella che suona meglio di tutte, quella di Herbie Hancock sui dischi Headhunter, Trust e Manchild per intenderci..."
Roland Cr68,"€ 699,00",oggi alle 13:28,Varese,"Drum Machine analogica anni 80, vendo per inutilizzo. Non sono interessato a scambi o permute, solo contatti da chi è realmente interessato. Grazie...."
Korg Wavestation,"€ 450,00",oggi alle 13:28,Varese,"Storico Synth con wave sequence stile PPG e sound dalle atmosfere uniche. Perfetta con nuovo display oled. Solo consegna a mano . Grazie,..."
Roland juno 60 midi,"€ 4.990,00",oggi alle 13:26,Varese,"Rivolto SOLO a chi cerca questo synth con estetica e funzionamento pari ad un invenduto , 
midi In CHD per controllo nota , classico Roland sound . No spedizioni , No scambi o permute, No curiosi per..."
Yamaha Dx7 IID,"€ 890,00",oggi alle 13:26,Como,"Storico Synth sintesi Fm , corredato di cartuccia originale, estetica e funzionamento pari ad un invenduto , no scambi o permute, solo consegna a mano...."
Vendo Korg Minilogue,"€ 350,00",oggi alle 13:24,Roma,"Vendo Korg Minilogue in perfette condizioni, usato pochissimo.
No permute grazie.
Pagamento Paypal o bonifico bancario, spese di spedizione comprese...."
Nord electro 3 61 usato con garanzia inclusa custodia originale,"€ 849,00",,,"MUSICALANDIA: 338/7660205  0332/771508
NORD ELECTRO 3 61 CON GARANZIA
..."
Studiologic Sledge 2.0 USATO NEGOZIO,"€ 748,00",,Napoli (NA),"
PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite what..."
Supporti Per Waldorf Blofeld e Pulse 2,"€ 18,00",oggi alle 13:11,Varese,"Coppia di Supporti ad incastro per il Sintetizzatore Blofeld Waldorf - adatti anche per Pulse 2
I supporti, provvisti di gommini antiscivolo, permettono di posizionare il Blofeld in verticale.

Dis..."
Stand / Supporto per Korg SQ-1 su MS-20 Mini,"€ 25,00",oggi alle 13:11,Varese,"Supporto in plastica per SQ-1 da installare su Korg MS-20 Mini
Fissaggio a vite sul retro
Chiedere per la disponibilità dei colori.
Spese di trasporto non incluse..."
Supporti per Behringer Crave,"€ 19,00",oggi alle 13:11,Varese,"Coppia di Supporti ad incastro per il Sintetizzatore Behringer Crave - colore arancione Crave
I supporti, provvisti di gommini antiscivolo, permettono di posizionare il Crave in due inclinazioni (ved..."
Stand / Supporto per Korg SQ-1 su MS-20 Mini - Giallo,"€ 25,00",oggi alle 13:11,Varese,"Supporto in plastica per SQ-1 da installare su Korg MS-20 Mini colore giallo
Fissaggio a vite sul retro

Spese di trasporto non incluse..."
Waldorf Iridium Keys,"€ 2.000,00",oggi alle 13:03,Mantova,"Immacolato,pochi mesi di vita,vendo per prendere il nuovo Quantum MK II..."
Siel LX61,prezzo su richiesta,,Luni (SP),SIEL LX 61 in ottime condizioni. Completamente revisionato nel nostro laboratorio. Contattaci per ogni informazione...
Oberheim Matrix 1000 Originale 3396,"€ 850,00",oggi alle 12:57,Teramo,"Tutto originale provato alcune volte per divertimento.Firmaware originale.Suoni analogici grandiosi,non ha scatola.Cambiata 2 anni fa la pila tampone in tensione.Testati tutti i 999 suoni.Venite e lo ..."
Endorphin.es Shuttle System BLACK + Shuttle Mate,"€ 2.000,00",oggi alle 12:53,Roma,"Come nuovo, completamente funzionante, no RR.

I moduli sono separati nel case, non sono attaccati al singolo pannello Shuttle prodotto da Endorphin.es, ciò significa che è possibile cambiare il lor..."
Roland JD XA,"€ 1.200,00",oggi alle 12:53,Prato,"Roland JD XA  con scatola originale e istruzioni.
Non scambio grazie
Claudio 349 0622474 anche whatsapp..."
Korg X5 perfetta,"€ 200,00",oggi alle 12:41,Ferrara,"Per amatori del genere, vendo un ottimo synth korg X5. 
Sintetizzatore programmabile con salvataggio proprie performance in memoria.
In ottimo stato. Posso spedire.

..."
Moog Prodigy,"€ 1.500,00",oggi alle 12:40,Perugia,"Vendo stupendo esemplare di sintetizzatore Moog PRODIGY Mod. 336BX seriale n. 3498X del 1978 in eccellenti condizioni. 
Caratteristiche:
- Monofonico
- Monodico
- 2 Oscillatori
- LFO onda quadrat..."
Behringer Deepmind 6,"€ 450,00",oggi alle 12:37,Caserta,"Usato pochissimo e solo in casa, vendo per inutilizzo. Consegna a mano non spedisco.
Contattatemi per foto...."
Klavis Flex Shaper Eurorack,"€ 79,00",oggi alle 12:34,Bologna,"perfette condizioni, vendo per inutilizzo.
Includo viti e ribbon cable
Paypal..."
WMD Geiger counter eurorack,"€ 220,00",oggi alle 12:34,Bologna,"Come nuovo, includo scatola originale ribbon cable e viti.
Invio foto dettagliate su richiesta
Paypal
Federico 3336031872..."
Make Noise 'OCoast,"€ 410,00",oggi alle 12:32,Bergamo,"Come da titolo, vendo Make Noise O'coast, con scatola ed accessori. Condizioni perfette, usato solo in studio.

Scambio solo con Mod Dwarf

Disponibile al ritiro a mano presso il mio studio oppure..."
Nord stage 3 pari al nuovo ultimo modello Rev B 5.1,"€ 3.300,00",oggi alle 12:30,Vicenza,"Ila migliore tastiera attualmente nel mercato  e chi la conosce sa di cosa stiamo parlando

in condizioni pari al nuovo impeccabile.


Nordstage 3 ultimo modello  Rev B 5.1

qualsiasi prova

..."
Skychord Utopia Synth (Drone Synth),"€ 250,00",oggi alle 12:23,Roma,Rarissimo drone synth/noise box non più in produzione. Solo ritiro a mano a Roma....
Skychord Sleepdrone 5 (Drone Synth),"€ 450,00",oggi alle 12:23,Roma,Rarissimo sintetizzatore drone/noise box. Solo ritiro a mano a Roma...
Arturia Microfreak  come nuovo,"€ 260,00",oggi alle 12:23,Treviso,Vendo come nuovo...
Arturia Matrixbrute,"€ 1.400,00",oggi alle 12:23,Treviso,Vendo come nuovo Arturia Matrixbrute...
Roland TB-3,"€ 200,00",oggi alle 12:23,Ragusa,"Vendo Roland TB-3 Touch bassline, nuova, provata 1 volta, completa di scatola originale, scontrino e garanzia...."
Korg Monotribe Synth Drum bellissimo e perfetto! Condizioni da collezione!,"€ 300,00",oggi alle 12:15,Lecce,"Korg Monotribe
Sintetizzatore Analogico - Drum Machine & Sequencer

Perfetto!! Da Collezione!!
Ormai raro da trovare in queste condizioni, senza modifiche, completo di scatolo e istruzioni.

Per..."
Korg Minilogue,"€ 400,00",oggi alle 12:15,Roma,Korg Minilogue + custodia come nuovo mai uscito di casa!...
Roland GO Keys TASTIERA 61 TASTI (GARANZIA 24 MESI) TRASPORTO GRATIS,"€ 279,00",,CONVERSANO (BA),"PRODOTTO NUOVO CON GARANZIA 24 MESI - TRASPORTO INCLUSO

ASTIERA DINAMICA 61 TASTI ROSSA

Se stai cercando un modo divertente per iniziare a suonare, che sappia tenere sempre viva la tua ispirazio..."
SQUARP INSTRUMENTS RAMPLE,"€ 260,00",oggi alle 11:56,Roma,"Vendo Rample di Squarp Instrument.

Tenuto perfettamente e aggiornato all'ultimo firmware 1.50

Scheda SD inclusa con tutti i sample di fabbrica.

Pagamento Paypal + commissioni 4% se la scelta ..."
Doepfer Eurorack Patch cable 50cm grigi x4,"€ 6,00",oggi alle 11:54,Novara,"Doepfer patch calble da 50cm per eurorack. 
Vendo per errato acquisto.

3331095217 - Luca
..."
Yamaha SY77 CON ASTUCCIO RIGIDO,"€ 550,00",,Boara Pisani (PD),"SPEDIZIONE INCLUSA!!! Lo Yamaha SY77 è un sintetizzatore multi timbrico 61 tasti con aftertouch e tantissimi suoni ancora attuali tra pianoforti acustici ed elettronici, archi synth, bassi ecc...ottim..."
Korg Microkorg,"€ 200,00",oggi alle 11:49,Ancona,"Vendo per inutilizzo, condizioni perfette unico proprietario… L’unico difetto è il microfono in dotazione, che piace molto al mio gatto… Funziona perfettamente ma presenta qualche morso sulla capsula...."
Roli Seaboard 49 perfetta + Equator,"€ 800,00",oggi alle 11:45,Roma,"Roli Seaboard 49 in condizioni assolutamente perfette meccaniche, elettroniche ed estetiche. Con custodia, imballo e licenza Equator.

Sono a disposizione per una qualsiasi prova a Roma.

Le foto ..."
Waldorf Blofeld keyboard Blokey + bag,"€ 500,00",oggi alle 11:43,Roma,"Vendo, perfettamente funzionante ed in ottime condizioni, per riduzione drastica dell’ homestudio.
Solo scambio a mano su Roma
Comprensivo di borsa
Il prezzo non è trattabile..."
Dave Smith Instruments Mopho Keyboard,"€ 600,00",oggi alle 11:41,Lodi,"Vendo sintetizzatore analogico Mopho Keyboard.

Monofonico estremamente potente, ottimo per bassi e lead.

Può essere usato anche come controller polifonico.

Utilizzato solo in studio.

Non s..."
Access Virus TI2 Keyboard,"€ 1.450,00",oggi alle 11:41,Lodi,"Vendo Virus TI2 Keyboard, il più potente synth digitale che sia mai stato fatto, uno strumento non ha bisogno di presentazioni.
Condizioni perfette sotto ogni punto di vista, le foto parlano da sè, c..."
TASTIERA NORD 4D 61 CON GARANZIA NEGOZIO USATO,"€ 1.100,00",,,"MUSICALANDIA: 338/7660205  0332/771508
tastiera synth nord 4d 61 
USATO PERFETTE CONDIZIONI
condizioni: buonissime 
..."
SIEL CRUISE TASTIERA SYNTH VINTAGE ANNI ’80 - BUONE CONDIZIONI,"€ 889,00",,Legnano (MI),"SIEL CRUISE TASTIERA SYNTH VINTAGE ANNI ’80 - BUONE CONDIZIONI
FUNZIONALITA' 100%

UN SYNTH STORICO !

unico proprietario.

4 Ottave,synth analogico poly presettato, synth mono ad onda libera, ..."
Roland SH 01A,"€ 300,00",oggi alle 11:16,Viterbo,"Vendo Roland Boutique SH 01A, completa di scatola, accessori ecc ecc
Regalo cavo jack 3.5 to 6.3
No scambi..."
Eurorack GINKOSYNTHESE Case (scambio),prezzo su richiesta,oggi alle 11:11,Catania,"Case in Mdf, 9U 88HP, scambio con moduli..."
TASTIERA YAMAHA MOTIF XF8 CON GARANZIA 12 MESI INCLUSA CUSTODIA TROLLEY,"€ 1.590,00",,,"MUSICALANDIA: 338/7660205  0332/771508
tastiera yamaha motif xf8 usato garantito 12 mesi con custodia trolley
Condizioni: perfetta in tutto, inoltre è stato fatto un controllo generale presso assist..."
Roland GO:KEYS Tastiera Pianoforte Elettrico Portatile 61 Tasti Rossa,"€ 279,00",oggi alle 11:07,Reggio nell'Emilia,GO:KEYS è una tastiera divertente e facile da usare che vi permette di suonare sulla vostra musica preferita riprodotta in streaming wireless dai suoi potenti diffusori interni. Basta connettere il vo...
Roland Juno Stage 76,"€ 500,00",oggi alle 11:02,Trieste,Vendo per passaggio ad 88 tasti. Ottime condizioni....
Yamaha MX88+accessori,"€ 700,00",oggi alle 11:00,Modena,"Come da titolo vendo sintetizzatore Yamaha MX 88.
Usato solo in casa, completo di manuale custodia trolley, pedale sustain (e eventualmente anche stand).

Le caratteristiche potete trovarle qui:
..."
Elka EK44 + 4 card,"€ 450,00",oggi alle 10:57,Roma,"Vendo Elka EK44 nuova in condizioni perfette (fondo di magazzino veramente mai usata, non ne troverete mai una così!!).
Il synth è stato interamente revisionato presso GM Service di Roma che ne ha ve..."
Moog Matriarch,"€ 1.700,00",oggi alle 10:56,Milano,"Come da titolo vendo Moog matriarch in condizioni pari al nuovo
Usato solamente qualche ora e solamente in studio
Acquistato nuovo 
Completo di imballi cavi manuali e tutto come da nuovo
Preferito..."
Clavia Nord lead a1,"€ 750,00",oggi alle 10:52,Roma,Pari al nuovo completo di soft bag originale vendo a prezzo di realizzo quindi no permute o sconti costi di spedizione inclusi nella richiesta...
synthesizer LX520,"€ 500,00",oggi alle 10:46,Brescia,"vendo sintetizzatore LX520 a euro 500, solo consegna a mano no permute..."
Korg Microkorg | Synthesizer/Vocoder [ed. Speciale Black & Red],"€ 360,00",oggi alle 10:30,Palermo,"Vendo splendido Microkorg perfettamente funzionante ed in condizioni perfette. Si tratta di una edizione limitata dai colori rosso e nero. Completo di tutto originale (microfono, alimentatore, scatola..."
Cre8audio Chipz,"€ 65,00",oggi alle 10:25,Udine,"Vendo come nuovo neanche un graffio, 2 oscillatori più lfo e filtro. Spese escluse...."
"Moog 2 tier rack per moog mother-32, DFAM, subharmonicon","€ 50,00",oggi alle 10:25,Udine,Vendo rack in oggetto pagamento bonifico o paypal...
iko case Iko case 88hp eurorack powered nero,"€ 100,00",oggi alle 10:25,Udine,Vendo case nero eurorack 88hp alimentato. Come in foto. Pagamento bonifico o paypal...
Ladik U-036 Audio to Trigger 4ch,"€ 40,00",oggi alle 10:25,Udine,"Modulo Ladik nuovo solo provato, converte i segnali audio in trigger.
Pagamento bonifico o paypal..."
Roland Vr09,"€ 650,00",oggi alle 10:22,Bari,Salve vendo nuovissima tastiera Roland vr09 mai usata comprata a marzo 2022 al prezzo di 730€con scontrino quindi in piena garanzia compreso imballo originale manuale !!!...
Teenage OP-1,"€ 900,00",oggi alle 10:16,Imperia,"Come nuovo, tenuto benissimo, con custodia e tutti gli accessori.
Prezzo comprensivo di spedizione...."
Korg Volca fm,"€ 80,00",oggi alle 10:08,Catania,Vendo come da titolo korg volca fm perfetta in tutto con imballo e alimentatore!! Info foto e video in pvt 3295644998...
Endorphin.es Milky Way,"€ 160,00",oggi alle 10:01,Ravenna,"Modulo usato pochissimo, come nuovo.
Non presente scatola originale ma sarà mia premura imballarlo in una scatola eurorack adeguata.
Spese a carico acquirente o ritiro a mano in zona Ravenna/Romagna..."
Korg Triton classic Revisionato,"€ 350,00",oggi alle 09:58,Roma,"Triton classic completamente revisionato, con tutte dinamiche tasti funzionanti idem per la contattiera dei pulsanti e per il touchscreen monitor, lo stesso vale per le uscite. Qualsiasi prova di pers..."
Kurzweil Pc4 7 e Pc4 88 con librerie aggiuntive / possibile permuta,"€ 1.788,90",,,Kurzweil Pc4 7 e Pc4 88 con librerie aggiuntive / possibile permuta...
Vendo Roland SH 201,"€ 300,00",oggi alle 09:52,Lucca,"Vendo Roland SH 201 

usato pochissimo ..solo in studio
consegna a mano..."
Yamaha NP12B + BORSA,"€ 165,00",,MESTRINO (PD),"Tastiera YAMAHA NP12B con BORSA inclusa. Usato garantito, in ottime condizioni. Disponibile per prova in negozio.

Tastiera: 61 Tasti Piano-Style
Polifonia: 64 voci
Amplificatore: 2,5W + 2,5W
Spe..."
KORG KRONOS 2 88 TASTI CON GARANZIA USATO,"€ 2.790,00",,,"MUSICALANDIA: 338/7660205  0332/771508
korg kronos 2 88 tasti con garanzia usato
euro 2790,00..."
Yamaha Tyros 5 76 tasti,"€ 1.300,00",oggi alle 09:44,Cuneo,"Vendo per completo inutilizzo tyros 5 76 tasti in condizioni pari al nuovo.
Comprende
Memoria 1 giga già installato
Leggio
Pedaliera
2 casse Yamaha
Amplificatore Yamaha
Prezzo non trattabile..."
Moog Moogerfooger MF-104z Analog Delay,prezzo su richiesta,,,Moog Moogerfooger MF-104z Analog Delay...
Tastiera portatile Casio CTK 50,"€ 50,00",oggi alle 09:31,Bari,"Portable Electronic Learning Keyboard Casio CTK 50

49 tasti 
8 note di polifonia 
100 toni
100 accompagnamenti ritmici 
2 altoparlanti incorporati

Usata pochissimo, praticamente nuova. Inclu..."
Elektron Monomachine SFX-60+MKII,"€ 2.000,00",oggi alle 09:29,Bergamo,"NON SCAMBIO! Vendo monomachine elektron in perfette condizioni eccetto qualche micro segno che non mi sento neanche di chiamare segno. 
tutte le funzioni sono perfette.
Vendo con alimentatore origin..."
Moog Subsequent 25 USATO NEGOZIO,"€ 1.250,00",,Napoli (NA),"PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite whats ..."
"Juno 60 Roland, uno dei più grandi synth degli anni '80 con porta Midi USB!","€ 3.800,00",oggi alle 09:26,Milano,"Non servono descrizioni per il Juno 60. In condizioni perfette è stato anche dotato di porta USB per la comunicazione MIDI.
A questa cifra rappresenta anche una sorta di investimento, potrete sempre ..."
"Roland JX 3P con controller originale PG 200, un pezzo di storia.","€ 1.200,00",oggi alle 09:26,Milano,"Magnifico sintetizzatore analogico degli anni '80 completo del controller PG 200 per la programmazione dei suoni. Tutto revisionato. Un pezzo di storia.
Spedizione esclusa!
Non mi interessa alcuno s..."
Roland PN-D50-00 Memory Card,"€ 100,00",oggi alle 09:23,Pisa,"VENDO COME DA TITOLO Roland MEMORY CARD PN-D50-00 

Spedizione con corriere inclusa..."
Roland PN-D50-03 Memory Card,"€ 140,00",oggi alle 09:23,Pisa,"VENDO COME DA TITOLO Roland MEMORY CARD PN-D50-03


Spedizione con corriere inclusa..."
Yamaha Montage 6  USATO NEGOZIO,"€ 2.690,00",,Napoli (NA),"PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite whats ..."
Roland PN-D50-04 Memory Card,"€ 150,00",oggi alle 09:23,Pisa,"VENDO COME DA TITOLO Roland MEMORY CARD PN-D50-04

Spedizione con corriere inclusa..."
Yamaha DX7 II-FD (CON SCHEDA GREY MATTER E!),"€ 700,00",oggi alle 09:22,Perugia,"Vendo per inutilizzo synth FM Yahama DX7 II-FD con installata scheda E! della Grey Matter. Perfettamente funzionante e in condizioni perfette, tenuto sempre nel suo flight case rigido.
Inclusi nella ..."
Yamaha SHS-10,"€ 180,00",oggi alle 09:20,Torino,"Keytar midi, con scatola originale e tracolla, manuale e alimentatore sono mancanti..."
Arturia MatrixBrute,"€ 1.345,00",oggi alle 09:14,Modena,"Vendo Synth MatrixBrute perfettamente funzionante,utilizzato soltanto in studio.
No fumatore con scatola originale.
No perditempo...."
Tastiera Synth Roland JX-1 NON FUNZIONANTE,"€ 90,00",oggi alle 09:14,Modena,"Vendo per inutilizzo tastiera Synth Roland JX-1 degli anni 90.
La tastiera ha un tasto mancante (D11 il RE della quinta ottava), collegata alla corrente si accende ma i presets non funzionano. È stat..."
4MS POD 20 HP BLIND PANEL CV CASE EURORACK ERICA SYNTH,"€ 110,00",oggi alle 09:12,Teramo,"Salve a tutti

Come da titolo e foto vendo:

4MS Pod 20HP (Powered)     Pagato 99,00 euro
4MS Power Brick 45W     Pagato15,00 euro
Power Cord 1mt (Acquistato a parte, non incluso con il Power Br..."
"Cordial CPI 1 PZ Patch Cable Output Eurorack Modular 6,3 mm 3,5 mm","€ 30,00",oggi alle 09:12,Teramo,"Salve a tutti 

Come da titolo e foto vendo coppia di Cordial CPI 1 PZ Patch Cable (da 1 mt) e coppia di Cordial CPI 2 PZ Patch Cable (da 2 mt) con jack mono da 6,3 mm a 3,5 mm 

Perfetti per inte..."
VERBOS ELECTRONICS PATCH CABLE 3.5 OUTPUT 6.3 ROGAN KNOBS BLIND PANEL,"€ 50,00",oggi alle 09:12,Teramo,"Salve a tutti

Come da titolo e foto vendo patch cable Verbos Electronics NUOVI
(E’ il set di patch cable che esce di serie con il Verbos Electronics Case 2x 104 HP)

QTY 2 Verbos Electronics - A..."
DOEPFER BLIND PANEL EURORACK PATCH CABLE BLACK MARKET (NO TIPTOP AUDIO),"€ 50,00",oggi alle 09:12,Teramo,"Salve a tutti

Come da titolo e foto vendo set di Blind Panel di Doepfer (NO Rack Rash), 2 patch cable Black Market Blue, viti e rondelle di Clicks&Clocks

- 2x Doepfer A-100 B42 Blind Panel 42HP ..."
2 Manhattan Analog MA35 VCF VCA filtro stile korg ms10 ms20 coppia eurorack,"€ 310,00",oggi alle 09:10,Milano,"ciao,
vendo come da titolo coppia di moduli eurorack Manhattan Analog MA35 VCF & VCA, riproduzioni fedeli dell'architettura filtro dei Korg MS con chip proprietari.

Acquistati in coppia perché uno..."
AFFARE MODULI EURORACK DIY ST MODULAR SPEDIZIONE INCLUSA SCAMBIO,prezzo su richiesta,oggi alle 09:10,Palermo,"COME DA FOTO , moduli come nuovi e mai usati per mancanza di tempo , comprati e rimasti spenti e chiusi nel case ! i moduli DIY sono stati assemblati dal maestro CIMINO PIERPAOLO (vedere profilo su FB..."
Dave Smith Instruments OB 6,"€ 2.600,00",oggi alle 09:01,Milano,Vendo OB 6 in perfetto stato sia estetico che funzionali usato veramente poco con custodia morbida...
Crumar Bit99 bit 99,"€ 800,00",oggi alle 09:00,Milano,"Strumento in ottime condizioni.
Vendo perché inutilizzato.

Permuto con altri synth...."
Korg Korg volca modular,"€ 120,00",oggi alle 08:54,Forlì-Cesena,"Vendo korg volca modular in perfette condizioni causa inutilizzo (confezione originale, manuale e cavetti patch). È stato utilizzato solo una volta, non riporta nessun segno d'usura...."
Korg ARP Odyssey FS Rev 1,"€ 1.200,00",oggi alle 08:50,Roma,"SINTETIZZATORE ANALOGICO DUOFONICO 37 TASTI

La rinascita di ARP ODYSSEY è derivata dal desiderio di ricostruire e riproporre questo leggendario sintetizzatore degli anni '70, riproducendo fedelment..."
Dreadbox Typhon,"€ 290,00",oggi alle 08:47,Bergamo,"Come da titolo vendo Dreadbox Typhon in ottime condizioni, perfettamente funzionante, con scatola ed accessori. 

Segnalo per correttezza che una parte della vernice del cutoff é andata via, difetto..."
Bastl Instruments ABC Mixer Black Modulo Eurorack,"€ 70,00",oggi alle 08:43,Firenze,"Vendo il modulo eurorack Bastl Instruments ABC Mixer Black, 5HP, utilizzabile sia in mono che stereo 

Modulo in perfette condizioni completo di scatola originale, cavo e viti

Prezzo Eur 70,00 + ..."
"Qu-Bit Contour (eurorack, doepfer, intellijel, mutable, make noise, alm)","€ 200,00",oggi alle 08:42,Roma,"Qu-bit Contour in perfetto stato, senza scatola originale. 

Valuto scambi con altri moduli...."
"Case Doepfer A-100 LCB PSU3 (eurorack, intellijel, mutable, qu-bit, make noise)","€ 450,00",oggi alle 08:42,Roma,"Vendo base Doepfer in condizioni perfette, acquistata da Thomann 6 mesi fa, con scatola e garanzia. 

#eurorack #modular #doepfer #mutable #intellijel #makenoise #alm #xaoc #befaco..."
"Doepfer A-160-5 ClockMult/Ratcheting (Intellijel, Mutable, Make Noise, Qu-bit)","€ 90,00",oggi alle 08:42,Roma,"Vendo come nuovo, completo di scatola e viti.

Valuto scambi con altri moduli eurorack.

Pagamento tramite Paypal o bonifico bancario, spedizione tramite corriere UPS tracciato...."
"Intellijel Rubicon2 (Eurorack, Doepfer, Mutable, Qu-bit, ALM, Xaoc)","€ 380,00",oggi alle 08:42,Roma,"Vendo Rubicon2 in condizioni perfette, con scatola e viti.

Scambio con Make Noise Morphagene...."
"Syntech E300 Ultra VCO (eurorack, doepfer, intellijel, make noise, qu-bit)","€ 350,00",oggi alle 08:42,Roma,"Vendo E300 Ultra VCO in condizioni perfette, con scatola e viti.

Pagamento tramite Paypal o bonifico bancario e spedizione con corriere tracciato UPS.

Scambio con Make Noise Morphagene...."
Clank Chaos,"€ 400,00",oggi alle 08:42,Roma,"Vendo Clank Chaos come nuovo, con scatola originale...."
Monome Teletype factory (eurorack doepfer intellijel mutable make noise qu-bit,"€ 600,00",oggi alle 08:42,Roma,"Vendo Monome Teletype factory in condizioni perfette.

Out of stock a tempo indeterminato...."
Elektron Machinedrum's MegaCommand,"€ 280,00",oggi alle 08:42,Roma,"Vendo custom built MegaCommand per Elektron Machinedrum.
..."
Roland D 20,"€ 149,00",oggi alle 08:33,Alessandria,"Vendo x cambio attrezzatura-
Perfettamente funzionante..."
"Korg Radias Keyboard, Microfono, Supporto Originale a 4 gambe, manualistica.","€ 890,00",oggi alle 08:32,Catania,"Korg Radias Keyboard, eccellenti condizioni estetico funzionali e unico in vendita con supporto originale Korg e Microfono Korg

Valuto come permuta parziale + conguaglio a mio favore uno dei seguen..."
Roland D50,"€ 500,00",oggi alle 08:31,Roma,"Mitico synth anni ‘80.Perfettamente funzionante.NO PERMUTE.
Preferirei non spedire...."
Roland JX3P mod Tauntek RIBASSO!!,"€ 1.100,00",oggi alle 08:31,Roma,"Synth analogico perfettamente funzionante,è stata aggiornata l’EPROM con la mod Tauntek che ora permette di programmarlo tramite qualsiasi programmer esterno (Novation zero sl,BCR2000 ecc).
NO PERMUT..."
Gem s2 turbo con emulatore floppy display oled,"€ 450,00",oggi alle 08:29,Roma,"Cedo Storico sint Gem S2 TURBO
in ottime condizioni estetiche e perfettamente funzionante
a corredo emulatore floppy display oled con repertorio in formato.img già istallato 
astenersi scambi, riba..."
Eko Pandora 49,"€ 90,00",oggi alle 08:26,Taranto,"Ottime condizioni, funzionante. La tastiera è stata acquistata a Berlino anni fa, é una rara versione dell'Eko Panda 49 (di cui conserva tutte le caratteristiche) con speaker interno incassato. 
Solo..."
Kurzweil PC3K8 + custodia originale Kurzweil,"€ 1.249,00",oggi alle 08:25,Vicenza,"Vendo  PC3K8 in foto,perfette condizioni sia estetiche che funzionali,mai avuto problemi,pronta a qualsiasi prova,completa di tutto,pedale sustain,manualistica,imballo originale,scontrino,compresa cus..."
Dreadbox Nymphes + USB Adapter,"€ 380,00",oggi alle 08:15,Torino,"Ciao! Vendo Nympes della Dradbox con cavo USB sdoppiato prodotto dalla Dreadbox per eliminare il rumore di fondo.
Vendo per inutilizzo, condizioni pari al nuovo, sempre tenuto in studio.
Ottimo synt..."
Behringer TD3 black,"€ 80,00",oggi alle 08:14,Cosenza,Usata pochissimo. Compresa di scatola ed alimentatore originale. Spedisco...
Roland D-50,"€ 420,00",oggi alle 08:14,Milano,"Celeberrimo synth multitimbrico di casa Roland in ottime condizioni estetiche (usato sempre e solo in casa) e perfettamente funzionanti. 
Decisamente preferibile ritiro a mano su Milano (con possibil..."
Erica Synths Pico VC EG e VCF1,"€ 70,00",oggi alle 08:10,Novara,"Vendo per inutilizzo suddetti moduli Erica Synth Pico

VCF 1  a € 70,00
VC EG a € 70,00..."
Radikal Technologies Delta Cepa,"€ 650,00",oggi alle 08:10,Novara,"Vendo per inutilizzo suddetto modulo, compreso di scatole cavo e viti
Spedizione compresa

per contatti ducciosky@gmail.com
cell 3384728058
Piero..."
Alesis QS 8.2 - 88 tasti pesati + Vintage Keyboards card + pedale,"€ 500,00",oggi alle 08:04,Venezia,"Vendo tastiera/sintetizzatore - dall'elevato valore collezionistico e storico - Alesis QS 8.2 (88 tasti pesati dinamici, 64 voci polifoniche espandibili). Aggiungo schedina ""Vintage Keyboards card"" e ..."
Casiotone Ct-202,"€ 230,00",oggi alle 07:49,Roma,"Bellissimo casiotone 202 degli anni ottanta rarissimo con finitura nera e effetto alluminio spazzolato. Appena revisionato e controllato. Perfetto nel funzionamento tutti tasti, cursori a slider, puls..."
Korg Prologue 8,"€ 1.000,00",oggi alle 07:48,Milano,"Buongiorno,

causa dismissione studio vendo questo splendido sintetizzatore Korg Prologue 8. Condizioni come nuovo, perfettamente funzionante, tenuto sempre in studio smoke free.

Foto solo a real..."
